"행정구역","2014년03월_계_총인구수","2014년03월_계_연령구간인구수","2014년03월_계_0~9세","2014년03월_계_10~19세","2014년03월_계_20~29세","2014년03월_계_30~39세","2014년03월_계_40~49세","2014년03월_계_50~59세","2014년03월_계_60~69세","2014년03월_계_70~79세","2014년03월_계_80~89세","2014년03월_계_90~99세","2014년03월_계_100세 이상"
"전국  (0000000000)","51,185,882","51,185,882","4,604,841","6,162,748","6,577,039","7,969,182","8,941,561","8,088,215","4,524,693","3,091,987","1,060,436","150,983","14,197"
"서울특별시  (1100000000)","10,141,727","10,141,727","802,862","1,082,506","1,458,117","1,754,200","1,740,922","1,599,718","950,006","553,203","167,972","27,834","4,387"
"부산광역시  (2600000000)","3,525,512","3,525,512","263,310","382,589","456,260","514,654","580,545","633,135","388,237","228,357","68,689","8,411","1,325"
"대구광역시  (2700000000)","2,500,874","2,500,874","210,074","318,572","322,193","364,516","450,197","410,043","227,431","146,248","45,744","5,383","473"
"인천광역시  (2800000000)","2,886,580","2,886,580","269,289","350,362","393,876","467,843","523,809","470,350","221,168","135,261","46,999","7,030","593"
"광주광역시  (2900000000)","1,472,490","1,472,490","146,071","213,535","195,659","233,667","258,467","207,846","115,617","73,030","24,658","3,656","284"
"대전광역시  (3000000000)","1,534,954","1,534,954","150,689","202,550","209,032","244,426","273,150","234,414","118,196","73,462","25,247","3,542","246"
"울산광역시  (3100000000)","1,158,245","1,158,245","113,872","153,277","153,017","184,442","217,563","191,135","85,616","43,390","13,987","1,827","119"
"세종특별자치시  (3600000000)","126,857","126,857","14,121","14,167","14,291","20,400","21,360","18,151","10,949","9,208","3,659","511","40"
"경기도  (4100000000)","12,266,541","12,266,541","1,247,303","1,567,225","1,579,231","2,027,458","2,297,323","1,841,538","891,449","585,474","197,748","29,203","2,589"
"강원도  (4200000000)","1,541,051","1,541,051","125,800","184,492","178,881","199,878","253,152","265,346","154,672","127,910","43,639","6,751","530"
"충청북도  (4300000000)","1,572,914","1,572,914","143,841","193,897","191,272","225,435","265,522","250,725","140,717","114,854","40,886","5,396","369"
"충청남도  (4400000000)","2,051,940","2,051,940","196,699","242,236","239,878","305,929","333,131","307,712","189,020","163,825","64,382","8,532","596"
"전라북도  (4500000000)","1,871,139","1,871,139","162,652","234,987","216,019","246,948","302,540","290,035","191,146","157,258","60,531","8,432","591"
"전라남도  (4600000000)","1,905,860","1,905,860","157,940","227,359","201,799","234,007","298,411","300,039","210,025","192,388","72,791","10,424","677"
"경상북도  (4700000000)","2,697,169","2,697,169","223,302","300,462","311,519","364,093","435,466","445,250","282,638","234,900","87,356","11,521","662"
"경상남도  (4800000000)","3,335,088","3,335,088","316,083","413,821","387,374","496,420","583,772","533,713","296,955","215,386","81,696","9,353","515"
"제주특별자치도  (5000000000)","596,941","596,941","60,933","80,711","68,621","84,866","106,231","89,065","50,851","37,833","14,452","3,177","201"
