사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2022-03,1호선,0150,서울역,527,9,"7,877","5,587","10,214","32,887","33,049","76,154","51,901","162,519","38,945","97,579","38,098","51,770","44,216","43,856","49,494","47,987","53,094","47,524","46,486","43,746","58,705","48,059","69,960","48,759","104,829","58,319","154,574","63,617","74,238","41,439","50,648","27,963","51,920","23,562","33,549","17,564","12,282","10,263",40,810,0,1,0,0,0,0,2022-04-03 09:20:04
2022-03,1호선,0151,시청,80,0,"1,651","4,430","2,627","17,551","5,925","54,519","7,783","152,634","7,644","65,309","8,913","28,383","12,923","27,619","14,627","25,247","18,553","24,331","24,487","19,891","32,541","15,764","38,157","14,185","63,472","15,032","121,746","15,813","43,230","9,105","35,970","5,305","34,519","3,826","20,066","2,608","5,979","2,093",12,224,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,1호선,0152,종각,60,3,"1,958","3,762","2,703","20,371","4,885","79,758","8,610","185,756","9,597","99,571","13,531","45,641","20,302","40,436","24,527","36,793","30,244","37,305","37,568","32,158","46,955","27,469","54,849","27,425","97,879","29,719","156,132","33,576","67,006","17,268","56,214","7,157","60,603","4,682","47,896","3,121","20,771","2,141",29,196,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,1호선,0153,종로3가,99,17,"2,591","2,649","2,584","11,667","3,926","22,306","6,868","63,417","11,081","59,840","16,614","49,641","27,670","50,107","33,430","51,207","38,629","50,743","45,176","45,561","52,822","37,417","58,831","31,682","67,257","27,852","84,253","27,667","47,937","13,303","34,523","6,225","35,445","4,440","29,999","3,517","12,585","3,049",69,521,1,1,1,1,0,0,2022-04-03 09:20:04
2022-03,1호선,0154,종로5가,31,0,"1,384","3,487","2,283","13,844","4,425","38,139","7,087","89,093","10,092","54,781","16,185","44,799","25,031","45,101","31,762","44,374","37,352","41,748","44,242","39,856","48,752","33,503","52,572","27,297","68,794","22,904","85,532","20,001","42,978","11,172","27,316","5,125","23,438","4,144","15,859","2,966","4,518","1,914",21,509,1,0,1,0,0,0,2022-04-03 09:20:04
2022-03,1호선,0155,동대문,843,16,"11,330","1,789","8,089","5,810","13,081","10,892","16,963","21,041","15,284","19,382","13,872","17,755","15,291","18,590","18,362","19,180","19,253","18,475","20,552","18,354","21,275","16,877","21,799","16,031","22,103","15,804","20,737","16,686","14,649","16,904","11,429","11,269","10,616","8,915","9,313","8,259","3,430","8,196",20,"1,431",0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,1호선,0156,신설동,285,8,"7,379","2,393","7,452","10,201","15,754","21,456","22,655","54,975","15,146","29,557","13,330","18,708","15,560","16,430","17,403","16,689","19,210","16,806","18,791","15,783","21,789","16,390","28,462","17,153","35,869","18,964","50,235","23,201","18,665","16,505","12,049","10,538","10,750","9,893","8,231","8,873","3,080","7,353",38,"1,018",1,0,0,0,0,0,2022-04-03 09:20:04
2022-03,1호선,0157,제기동,217,5,"4,345","1,805","7,173","6,868","18,827","16,302","26,394","35,824","18,764","27,655","21,008","31,389","28,315","37,739","34,750","40,649","36,031","42,600","38,668","41,367","42,908","35,489","40,876","27,416","38,852","22,209","34,734","23,388","15,544","15,702","9,346","9,901","7,169","9,073","4,741","8,410","1,669","5,903",36,657,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,1호선,0158,청량리(서울시립대입구),823,14,"9,401","4,108","13,084","21,226","30,796","14,952","39,251","29,802","25,254","26,688","23,681","30,851","31,111","35,970","34,353","36,250","36,487","40,911","37,716","41,550","42,076","39,491","49,805","34,937","44,821","34,678","37,316","40,845","20,103","25,789","14,315","15,321","10,460","14,200","6,905","12,452","2,354","7,623",33,995,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,1호선,0159,동묘앞,131,0,"2,385",808,"3,044","3,872","5,339","8,376","8,359","19,361","6,913","14,925","7,622","16,764","11,711","22,529","17,309","25,246","22,208","28,157","25,759","26,406","29,439","22,255","30,042","15,839","25,973","11,914","18,542","8,830","8,024","6,111","5,126","4,023","4,330","3,926","3,484","4,298","1,125","3,298",14,"1,711",0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0201,시청,42,0,867,"1,338","1,589","14,301","4,425","53,247","6,335","174,165","7,792","66,827","10,079","21,310","15,111","17,661","14,784","18,186","18,217","18,483","23,665","16,433","28,377","14,013","33,378","11,526","68,064","13,596","138,238","13,871","45,067","7,529","31,467","4,320","29,198","3,330","17,787","2,864","5,850","2,390",3,261,1,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0202,을지로입구,130,61,"1,738","2,100","2,680","22,709","7,933","96,162","13,247","254,112","13,686","115,203","15,675","50,773","22,254","43,203","27,917","39,139","35,179","37,544","40,375","32,476","49,792","28,305","58,602","28,954","115,861","32,536","206,330","34,588","81,487","18,997","72,900","10,631","46,388","9,763","32,934","8,927","10,824","5,684",6,"3,705",0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0203,을지로3가,1,0,691,"1,432","1,813","15,656","4,651","55,848","9,256","134,705","9,574","55,700","10,569","26,133","14,236","20,413","16,907","19,379","18,723","21,462","21,808","19,451","24,547","17,620","31,077","18,052","65,650","21,240","109,552","24,034","43,325","13,063","29,342","6,359","31,111","5,204","30,288","4,474","14,052","3,773",1,277,0,1,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0204,을지로4가,4,1,825,"1,099","1,681","12,029","3,251","29,714","6,622","70,201","6,657","35,184","7,564","19,580","10,980","17,402","12,587","16,022","14,658","15,927","17,122","14,694","20,360","13,291","24,780","11,174","44,453","10,661","61,198","10,224","26,528","5,667","13,472","3,347","10,680","2,806","8,102","2,980","3,047","2,311",6,195,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0205,동대문역사문화공원(DDP),357,11,"5,485","1,075","4,231","7,267","6,149","20,357","9,278","43,903","8,707","27,103","8,895","22,499","12,138","22,953","14,191","22,719","15,221","22,268","19,364","22,950","24,878","20,283","30,395","18,047","34,970","18,153","37,609","19,586","23,556","19,865","16,705","12,187","17,122","9,086","11,693","7,853","4,457","7,173",4,740,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0206,신당,27,1,"5,034","1,155","9,822","7,784","23,320","16,609","38,508","31,329","22,316","20,539","15,535","15,825","15,261","16,257","17,331","17,339","18,826","18,179","18,420","18,894","20,079","19,747","23,196","23,105","26,469","28,715","29,497","39,901","19,400","26,297","14,469","15,907","12,954","14,712","10,550","14,039","4,588","10,445",3,284,0,0,1,1,0,0,2022-04-03 09:20:04
2022-03,2호선,0207,상왕십리,54,2,"4,954",517,"11,362","4,331","34,099","10,788","54,449","32,591","29,322","16,556","18,323","11,953","15,386","10,610","17,767","12,833","17,190","13,647","15,893","14,855","16,050","17,304","17,733","20,526","21,848","28,032","24,921","45,337","16,435","30,506","11,014","18,917","8,978","18,230","6,056","16,453","2,170","12,333",4,125,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0208,왕십리(성동구청),756,1,"6,297","1,012","9,086","5,663","22,502","11,777","39,749","25,631","23,765","16,620","16,399","13,451","16,635","13,802","19,222","15,542","20,346","16,889","20,806","16,630","23,565","18,523","29,277","21,907","32,994","30,969","34,171","47,255","22,296","28,871","20,310","17,224","23,425","14,960","27,234","14,751","13,639","12,960",10,260,0,1,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0209,한양대,6,1,815,188,"2,082","4,959","4,237","10,661","7,066","64,264","5,151","58,091","7,328","50,731","12,624","16,160","17,746","35,908","17,931","25,844","24,963","20,499","31,913","11,784","42,795","9,306","52,730","13,717","36,335","16,274","17,038","7,054","15,637","4,901","17,120","4,382","10,549","4,227","4,003","3,798",2,50,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0210,뚝섬,5,0,"2,907","1,613","7,193","13,080","16,417","33,102","22,265","119,808","14,274","76,066","12,160","31,914","12,926","23,034","15,681","24,665","18,727","26,722","21,499","24,188","26,054","24,898","33,412","25,815","54,770","29,017","108,590","35,848","52,920","20,481","33,589","11,477","30,400","9,480","21,285","8,996","7,873","6,722",3,207,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0211,성수,37,0,"4,757","3,759","7,755","28,376","20,619","70,159","27,215","242,201","20,406","129,971","18,229","47,006","20,316","36,536","23,546","38,239","28,042","42,637","32,321","41,061","38,972","39,277","51,466","41,484","98,724","44,804","207,597","52,053","93,464","29,521","58,035","14,921","53,361","11,779","41,208","11,660","15,411","11,865",9,"4,396",0,2,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0212,건대입구,187,9,"11,588","1,869","17,800","19,900","46,078","24,068","81,389","57,696","53,434","45,942","31,618","36,243","30,335","37,823","36,897","44,159","40,476","52,202","40,504","52,397","46,282","57,018","55,689","69,887","64,871","98,654","76,963","133,929","57,040","87,709","56,550","49,183","65,402","44,253","76,456","37,847","43,655","27,103",47,"3,496",0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0213,구의(광진구청),27,0,"11,492","1,017","22,990","10,312","59,787","14,367","99,162","36,625","57,796","21,308","29,968","17,657","25,610","17,182","27,513","20,521","26,945","23,092","24,650","24,083","24,514","30,793","28,574","34,912","30,785","49,991","39,340","82,504","20,002","59,426","14,940","37,341","13,850","34,674","13,461","32,710","6,249","21,250",6,"1,349",1,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0214,강변(동서울터미널),11,0,"7,299","1,734","22,866","16,048","68,515","19,284","94,530","37,417","64,119","29,512","44,165","27,587","41,068","26,985","40,384","31,480","40,287","34,585","37,149","36,098","38,466","42,780","40,625","47,208","45,527","62,621","50,751","91,358","33,478","64,989","25,331","40,910","20,126","33,965","12,534","32,938","4,731","18,574",6,700,0,1,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0215,잠실나루,5,0,"2,567","1,589","9,244","9,007","32,799","19,803","37,800","32,229","23,211","19,779","18,408","14,549","18,595","12,914","18,217","15,824","17,071","17,780","17,801","15,491","19,807","15,104","24,134","16,628","28,988","21,466","25,553","33,282","11,913","24,476","8,256","14,163","6,181","13,240","4,681","12,607","1,827","7,972",4,208,0,1,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0216,잠실(송파구청),88,4,"9,298","3,996","39,821","27,326","100,950","59,203","139,131","129,970","100,759","100,814","63,901","74,547","63,344","75,949","71,107","81,149","76,488","87,497","78,937","83,764","88,019","90,465","105,765","102,712","135,913","136,069","163,546","185,300","109,111","121,085","109,889","74,020","91,374","67,485","70,389","64,116","19,218","40,331",21,"1,572",0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0217,잠실새내,18,0,"3,695",749,"13,826","9,146","45,982","15,759","60,299","24,888","37,451","26,428","24,521","20,136","23,209","21,105","25,973","24,170","26,320","27,657","24,356","27,186","27,506","32,058","29,680","34,943","31,444","48,272","34,849","69,170","25,372","48,328","22,154","26,271","21,756","22,161","22,372","21,213","11,148","13,883",6,"1,048",0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0218,종합운동장,7,0,"1,276",886,"4,687","6,170","13,430","12,688","18,117","20,950","13,007","10,376","9,154","8,567","8,499","8,030","10,155","12,268","11,118","14,087","11,230","15,835","13,084","19,148","15,674","23,431","15,372","21,972","16,127","24,274","9,808","15,118","15,056","9,517","25,390","8,619","16,836","8,457","1,300","5,006",6,471,0,1,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0219,삼성(무역센터),147,1,"4,185","4,762","6,152","34,583","13,249","110,590","18,071","271,374","17,707","188,801","19,219","77,526","27,404","56,992","34,249","53,822","44,097","61,587","53,818","50,518","69,911","44,018","87,294","41,169","159,388","43,381","239,230","46,149","119,530","26,114","89,813","13,910","76,106","11,430","53,552","9,411","14,458","6,163",2,"3,744",0,1,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0220,선릉,56,3,"3,260","5,752","9,113","33,702","17,429","95,885","27,231","243,807","25,408","182,066","28,274","81,289","35,611","53,099","43,366","48,502","51,260","54,436","60,330","46,024","78,348","40,889","101,140","38,821","153,171","44,091","248,048","47,499","120,457","27,648","74,302","16,580","71,890","14,692","63,708","13,438","21,353","9,665",7,483,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0221,역삼,26,3,"2,923","6,671","7,390","32,422","13,094","112,537","22,521","297,979","19,519","246,040","20,485","97,893","27,214","53,159","33,753","47,769","40,029","54,259","47,291","43,887","62,067","38,965","77,341","36,017","157,503","40,813","240,020","46,450","126,632","27,905","71,363","16,750","67,142","13,811","50,109","11,639","17,639","9,101",7,102,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0222,강남,91,6,"4,992","10,557","13,834","45,914","33,415","126,480","53,892","280,249","43,864","277,816","45,044","129,996","59,544","88,384","74,087","89,436","86,853","109,347","96,497","95,775","119,346","89,188","136,106","94,971","201,018","118,420","281,548","154,671","179,839","88,579","136,077","41,459","155,659","31,949","158,942","28,278","73,416","20,015",39,246,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0223,교대(법원.검찰청),37,0,"2,251","6,540","10,945","22,225","23,115","50,641","30,697","136,776","24,547","123,816","23,556","59,089","28,153","44,182","30,797","42,245","37,038","46,696","43,148","42,872","47,398","39,492","52,903","41,185","84,183","48,147","125,520","58,506","57,345","35,264","43,363","19,221","46,926","16,955","41,024","17,073","14,362","11,119",9,190,1,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0224,서초,24,0,"1,285","4,319","7,144","17,331","14,228","42,231","21,457","100,821","21,696","77,286","16,318","31,258","21,278","22,297","20,566","18,386","25,566","21,580","26,779","20,153","31,961","17,615","37,770","17,942","61,901","18,231","86,275","19,829","35,529","13,172","22,459","8,207","22,960","8,110","15,363","8,247","4,694","4,975",3,30,1,2,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0225,방배,2,1,"2,178","2,453","7,960","10,045","19,927","24,833","27,076","67,613","21,377","50,614","16,647","27,691","17,687","23,555","21,565","25,347","23,234","24,111","24,989","22,264","28,878","22,417","35,373","22,089","43,230","27,640","63,076","34,316","28,182","23,566","19,374","14,212","18,402","12,959","15,141","13,947","5,602","8,627",5,67,1,1,1,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0226,사당,52,1,"9,838","3,117","22,193","24,469","63,492","38,231","89,598","56,885","60,944","43,736","38,195","36,652","35,291","37,493","41,762","40,568","42,126","41,821","42,874","41,151","44,606","50,989","49,788","63,165","61,337","90,103","80,033","132,068","51,322","90,262","41,909","52,839","45,944","48,351","46,580","48,551","21,698","35,461",22,"2,506",0,1,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0227,낙성대(강감찬),30,0,"9,749","1,733","23,371","8,130","69,038","19,046","109,713","34,580","67,101","28,351","35,907","24,895","31,272","21,543","34,584","23,762","34,933","25,871","31,899","26,779","32,317","32,200","36,284","36,980","41,582","52,187","44,633","87,534","25,409","76,014","18,920","47,264","17,960","44,722","15,077","46,789","5,921","28,752",10,"2,317",0,0,0,0,0,0,2022-04-03 09:20:04
