,sido-gu,온도,습도
0,강릉,19.1,남남동
1,강진군,19.8,동남동
2,강화,18.7,북북동
3,거제,18.7,동남동
4,거창,20.8,동남동
5,경주시,17.4,정온
6,고산,20.0,동
7,고창,20.3,북북동
8,고창군,20.2,북
9,고흥,18.4,정온
10,광양시,19.2,동북동
11,광주,21.7,동
12,구미,20.8,동남동
13,군산,20.3,서북서
14,금산,20.5,정온
15,김해시,18.8,북북서
16,남원,19.9,서북서
17,남해,18.4,정온
18,대관령,13.5,정온
19,대구,18.7,남동
20,대전,21.6,남남서
21,동두천,21.9,서남서
22,동해,18.3,남서
23,목포,20.5,남동
24,문경,18.8,남남동
25,밀양,20.7,남동
26,백령도,17.4,서
27,보령,20.0,정온
28,보성군,19.7,남동
29,보은,21.4,남동
30,봉화,16.6,남동
31,부산,18.5,동북동
32,부안,20.1,정온
33,부여,20.5,남
34,북강릉,17.6,정온
35,북창원,19.4,서북서
36,북춘천,21.8,정온
37,산청,20.0,북
38,상주,20.5,동북동
39,서귀포,20.9,북동
40,서산,19.9,남남동
41,서울,22.8,남
42,성산,20.4,동북동
43,세종,21.2,서
44,속초,17.2,남남동
45,수원,21.1,서남서
46,순창군,20.1,정온
47,순천,18.2,동남동
48,안동,18.0,동
49,양산시,19.2,동북동
50,양평,21.7,남
51,여수,19.2,정온
52,영광군,20.0,북북동
53,영덕,16.6,남
54,영월,20.8,동
55,영주,18.0,남남동
56,영천,17.6,동
57,완도,19.3,남동
58,울릉도,16.0,동북동
59,울산,18.4,북북서
60,울진,17.9,남서
61,원주,23.8,남서
62,의령군,19.1,동북동
63,의성,18.8,남남동
64,이천,23.0,서북서
65,인제,18.1,북동
66,인천,20.0,남
67,임실,18.0,남서
68,장수,18.4,동북동
69,장흥,19.4,정온
70,전주,20.5,정온
71,정선군,18.6,남남서
72,정읍,19.9,북동
73,제주,21.0,동남동
74,제천,20.2,정온
75,진도군,19.2,동
76,진주,18.6,남동
77,창원,17.9,정온
78,천안,21.7,서남서
79,철원,20.7,동
80,청송군,16.5,남동
81,청주,23.2,서
82,추풍령,18.8,동북동
83,춘천,22.4,북북동
84,충주,20.9,정온
85,태백,15.2,남남서
86,통영,19.0,북북동
87,파주,20.2,정온
88,포항,19.0,북북동
89,함양군,19.6,남남서
90,합천,20.8,정온
91,해남,19.4,동북동
92,홍성,20.3,남남동
93,홍천,20.7,동북동
94,흑산도,17.9,남남동
